,Unnamed: 0,endereco,CEP,Bairro,lat,long
0,0, Rua Carlos Afonseca  ,11055240,Gonzaga,-23.9687872,-46.3313938
1,1, Avenida Doutor Epitácio Pessoa ,11045301,Boqueirão,-23.9648026,-46.3235849
2,2, Rua República do Equador  ,11030150,Ponta da Praia,-23.9821374,-46.2999354
3,3, Avenida General Francisco Glicério  ,11065400,Encruzilhada,-23.9673822,-46.3328146
4,4, Rua João Caetano  ,11070310,Campo Grande,-23.9582251,-46.3379206
5,5, Rua 1 de Maio  ,11035181,Aparecida,-23.9781859,-46.3044871
6,6, Avenida Rei Alberto I ,11030381,Ponta da Praia,-23.9884784,-46.2984655
7,7, Avenida Presidente Wilson  ,11065200,Gonzaga,-23.9673822,-46.3328146
8,8, Avenida Bartolomeu de Gusmão ,11045400,Boqueirão,-23.9648026,-46.3235849
9,9, Avenida Bartolomeu de Gusmão  ,11045400,Boqueirão,-23.9648026,-46.3235849
10,10, Rua Doutor Lobo Viana  ,11045120,Boqueirão,-23.9647004,-46.3216018
11,11, Avenida Rei Alberto I  ,11030381,Ponta da Praia,-23.9884784,-46.2984655
12,12, Rua Robert Sandall ,11030530,Ponta da Praia,-23.9842532,-46.3068872
13,13, Ponta da Praia Santos ,11030400,Ponta da Praia,-23.9821374,-46.2999354
14,14, Gonzaga Santos ,11060001,Gonzaga,-23.954249995,-46.334
15,15, Avenida Vicente de Carvalho ,11045500,Boqueirão,-23.9648026,-46.3235849
16,16, Rua Ministro João Mendes  ,11040261,Embaré,-23.9713823,-46.3152154
17,17, Avenida Senador Pinheiro Machado  ,11075000,Marapé,-23.9556817,-46.3468306
18,18, Rua Voluntários Santistas ,11055020,Boqueirão,-23.9651124,-46.3261718
19,19, Avenida Washington Luiz  ,11050200,Vila Mathias,-23.9462657,-46.3276913
20,20, Avenida Washington Luiz ,11050200,Vila Mathias,-23.9462657,-46.3276913
21,21, Avenida Marechal Floriano Peixoto  ,11060301,Gonzaga,-23.9673822,-46.3328146
22,22, Rua Pereira Barreto ,11065110,Gonzaga,-23.9665436,-46.3351796
23,23, Rua Galeão Carvalhal  ,11055201,Gonzaga,-23.967704,-46.3309403
24,24, Rua Paraguassú  ,11050020,Boqueirão,-23.9580113,-46.3247381
25,25, Rua Waldomiro Silveira ,11055150,Boqueirão,-23.9674603,-46.3255402
26,26, Rua Galeão Coutinho  ,11040210,Embaré,-23.969086,-46.3192361
27,27, Rua Doutor Egydio Martins  ,11030161,Ponta da Praia,-23.9854292,-46.3002491
28,28,                Gonzaga Santos ,11060001,Gonzaga,-23.954249995,-46.334
29,29,                Rua Pindorama  ,11045530,Boqueirão,-23.9697338,-46.3283727
30,30,                Avenida Presidente Wilson  ,11065200,Gonzaga,-23.9673822,-46.3328146
31,31,                Avenida Ana Costa ,11060000,Vila Mathias,-23.9678823,-46.3288865
32,32,                Rua Ricardo Pinto  ,11035171,Aparecida,-23.983091,-46.3099026
33,33,                Marapé Santos ,11070061,Marapé,-23.9591507,-46.3482764
34,34,                Rua Doutor Luís de Faria  ,11060480,Gonzaga,-23.9673822,-46.3328146
35,35,                Avenida Presidente Wilson ,11065200,Gonzaga,-23.9673822,-46.3328146
36,36,                Avenida Siqueira Campos ,11015300,Macuco,-23.9563229,-46.3159668
37,37,                Avenida Prefeito Doutor Antônio Manoel de Carvalho  ,11070440,Marapé,-23.9556817,-46.3468306
38,38,                Rua Galeão Carvalhal ,11055201,Gonzaga,-23.967704,-46.3309403
39,39,                Avenida Washington Luiz  ,11050200,Vila Mathias,-23.9462657,-46.3276913
40,40,                Rua Oswaldo Cruz ,11045101,Boqueirão,-23.9633391,-46.3217163
41,41,                Rua Pereira Barreto ,11065110,Gonzaga,-23.9665436,-46.3351796
