,rent,endereco,rooms,bathroom,parking,area
0,1450, Rua Carlos Afonseca  ,1,1,1,55
1,8500, Avenida Doutor Epitácio Pessoa ,3,2,3,158
2,4100, Rua República do Equador  ,2,4,2,111
3,2200, Avenida General Francisco Glicério  ,1,2,1,51
4,2380, Rua João Caetano  ,2,2,2,90
5,3600, Rua º de Maio  ,1,2,1,60
6,5200, Avenida Rei Alberto I ,3,3,3,132
7,3000, Avenida Presidente Wilson  ,3,3,3,150
8,2300, Avenida General Francisco Glicério  ,1,2,1,46
9,1500, Avenida Bartolomeu de Gusmão ,1,1,1,43
10,1700, Avenida Bartolomeu de Gusmão  ,1,3,1,70
11,2200, Rua Doutor Lobo Viana  ,2,2,2,123
12,4000, Avenida Rei Alberto I  ,3,3,3,132
13,1600, Rua Robert Sandall ,1,1,1,47
14,1600, Ponta da Praia Santos ,1,1,1,60
15,2200, Avenida Bartolomeu de Gusmão ,2,3,2,95
16,1750, Gonzaga Santos ,2,2,2,75
17,3000, Avenida Bartolomeu de Gusmão ,2,2,2,95
18,4000, Avenida Vicente de Carvalho ,3,3,3,155
19,1700, Rua Ministro João Mendes  ,2,1,2,100
20,1700, Avenida Senador Pinheiro Machado  ,3,2,3,114
21,4000, Rua Voluntários Santistas ,4,4,4,202
22,1500, Avenida Bartolomeu de Gusmão  ,1,1,1,48
23,1600, Avenida Washington Luiz  ,2,1,2,70
24,1800, Avenida Washington Luiz ,2,1,2,70
25,2900, Avenida Marechal Floriano Peixoto  ,1,1,1,45
26,1600, Rua Pereira Barreto ,1,1,1,50
27,3300, Rua Galeão Carvalhal  ,2,4,2,76
28,1700, Rua Paraguassú  ,2,1,2,65
29,1100, Avenida Bartolomeu de Gusmão  ,1,1,1,66
30,1900, Rua Paraguassú  ,2,2,2,72
31,4000, Rua Waldomiro Silveira ,4,4,4,257
32,2300, Avenida Bartolomeu de Gusmão ,1,1,1,50
33,1600, Rua Galeão Coutinho  ,2,1,2,70
34,1900, Ponta da Praia Santos ,2,1,2,88
